date,suburb,property_type,bedrooms,bathrooms,average_rent
2023-04-01,Nedlands,House,3,2,913
2023-04-01,Nedlands,House,3,3,996
2023-04-01,Nedlands,House,4,1,954
2023-04-01,Nedlands,House,4,2,1050
2023-04-01,Nedlands,House,4,3,1145
2023-04-01,Nedlands,House,5,1,1079
2023-04-01,Nedlands,House,5,2,1187
2023-04-01,Nedlands,House,5,3,1295
2023-04-01,Nedlands,Townhouse,1,1,552
2023-04-01,Nedlands,Townhouse,2,1,694
2023-04-01,Nedlands,Townhouse,2,2,763
2023-04-01,Nedlands,Townhouse,3,1,788
2023-04-01,Nedlands,Townhouse,3,2,867
2023-04-01,Nedlands,Townhouse,3,3,946
2023-04-01,Nedlands,Townhouse,4,1,907
2023-04-01,Nedlands,Townhouse,4,2,997
2023-04-01,Nedlands,Townhouse,4,3,1088
2023-04-01,Nedlands,Townhouse,5,1,1025
2023-04-01,Nedlands,Townhouse,5,2,1128
2023-04-01,Nedlands,Townhouse,5,3,1230
2023-04-01,Nedlands,Apartment,1,1,494
2023-04-01,Nedlands,Apartment,2,1,621
2023-04-01,Nedlands,Apartment,2,2,683
2023-04-01,Nedlands,Apartment,3,1,706
2023-04-01,Nedlands,Apartment,3,2,776
2023-04-01,Nedlands,Apartment,3,3,847
2023-07-01,Nedlands,House,1,1,602
2023-07-01,Nedlands,House,2,1,757
2023-07-01,Nedlands,House,2,2,832
2023-07-01,Nedlands,House,3,1,860
2023-07-01,Nedlands,House,3,2,946
2023-07-01,Nedlands,House,3,3,1032
2023-07-01,Nedlands,House,4,1,989
2023-07-01,Nedlands,House,4,2,1088
2023-07-01,Nedlands,House,4,3,1187
2023-07-01,Nedlands,House,5,1,1118
2023-07-01,Nedlands,House,5,2,1230
2023-07-01,Nedlands,House,5,3,1342
2023-07-01,Nedlands,Townhouse,1,1,572
2023-07-01,Nedlands,Townhouse,2,1,719
2023-07-01,Nedlands,Townhouse,2,2,791
2023-07-01,Nedlands,Townhouse,3,1,817
2023-07-01,Nedlands,Townhouse,3,2,899
2023-07-01,Nedlands,Townhouse,3,3,980
2023-07-01,Nedlands,Townhouse,4,1,940
2023-07-01,Nedlands,Townhouse,4,2,1034
2023-07-01,Nedlands,Townhouse,4,3,1127
2023-07-01,Nedlands,Townhouse,5,1,1062
2023-07-01,Nedlands,Townhouse,5,2,1168
2023-07-01,Nedlands,Townhouse,5,3,1275
2023-07-01,Nedlands,Apartment,1,1,512
2023-07-01,Nedlands,Apartment,2,1,643
2023-07-01,Nedlands,Apartment,2,2,708
2023-07-01,Nedlands,Apartment,3,1,731
2023-07-01,Nedlands,Apartment,3,2,804
2023-07-01,Nedlands,Apartment,3,3,877
2023-10-01,Nedlands,House,1,1,602
2023-10-01,Nedlands,House,2,1,757
2023-10-01,Nedlands,House,2,2,832
2023-10-01,Nedlands,House,3,1,860
2023-10-01,Nedlands,House,3,2,946
2023-10-01,Nedlands,House,3,3,1032
2023-10-01,Nedlands,House,4,1,989
2023-10-01,Nedlands,House,4,2,1088
2023-10-01,Nedlands,House,4,3,1187
2023-10-01,Nedlands,House,5,1,1118
2023-10-01,Nedlands,House,5,2,1230
2023-10-01,Nedlands,House,5,3,1342
2023-10-01,Nedlands,Townhouse,1,1,572
2023-10-01,Nedlands,Townhouse,2,1,719
2023-10-01,Nedlands,Townhouse,2,2,791
2023-10-01,Nedlands,Townhouse,3,1,817
2023-10-01,Nedlands,Townhouse,3,2,899
2023-10-01,Nedlands,Townhouse,3,3,980
2023-10-01,Nedlands,Townhouse,4,1,940
2023-10-01,Nedlands,Townhouse,4,2,1034
2023-10-01,Nedlands,Townhouse,4,3,1127
2023-10-01,Nedlands,Townhouse,5,1,1062
2023-10-01,Nedlands,Townhouse,5,2,1168
2023-10-01,Nedlands,Townhouse,5,3,1275
2023-10-01,Nedlands,Apartment,1,1,512
2023-10-01,Nedlands,Apartment,2,1,643
2023-10-01,Nedlands,Apartment,2,2,708
2023-10-01,Nedlands,Apartment,3,1,731
2023-10-01,Nedlands,Apartment,3,2,804
2023-10-01,Nedlands,Apartment,3,3,877
2024-01-01,Nedlands,House,1,1,623
2024-01-01,Nedlands,House,2,1,783
2024-01-01,Nedlands,House,2,2,862
2024-01-01,Nedlands,House,3,1,890
2024-01-01,Nedlands,House,3,2,979
2024-01-01,Nedlands,House,3,3,1068
2024-01-01,Nedlands,House,4,1,1023
2024-01-01,Nedlands,House,4,2,1126
2024-01-01,Nedlands,House,4,3,1228
2024-01-01,Nedlands,House,5,1,1157
2024-01-01,Nedlands,House,5,2,1273
2024-01-01,Nedlands,House,5,3,1388
2024-01-01,Nedlands,Townhouse,1,1,592
2024-01-01,Nedlands,Townhouse,2,1,744
2024-01-01,Nedlands,Townhouse,2,2,818
2024-01-01,Nedlands,Townhouse,3,1,846
2024-01-01,Nedlands,Townhouse,3,2,930
2024-01-01,Nedlands,Townhouse,3,3,1015
2024-01-01,Nedlands,Townhouse,4,1,972
2024-01-01,Nedlands,Townhouse,4,2,1070
2024-01-01,Nedlands,Townhouse,4,3,1167
2024-01-01,Nedlands,Townhouse,5,1,1099
2024-01-01,Nedlands,Townhouse,5,2,1209
2024-01-01,Nedlands,Townhouse,5,3,1319
2024-01-01,Nedlands,Apartment,1,1,530
2024-01-01,Nedlands,Apartment,2,1,666
2024-01-01,Nedlands,Apartment,2,2,732
2024-01-01,Nedlands,Apartment,3,1,756
2024-01-01,Nedlands,Apartment,3,2,832
2024-01-01,Nedlands,Apartment,3,3,908
2024-04-01,Nedlands,House,1,1,651
2024-04-01,Nedlands,House,2,1,818
2024-04-01,Nedlands,House,2,2,900
2024-04-01,Nedlands,House,3,1,930
2024-04-01,Nedlands,House,3,2,1023
2024-04-01,Nedlands,House,3,3,1116
2024-04-01,Nedlands,House,4,1,1070
2024-04-01,Nedlands,House,4,2,1176
2024-04-01,Nedlands,House,4,3,1283
2024-04-01,Nedlands,House,5,1,1209
2024-04-01,Nedlands,House,5,2,1330
2024-04-01,Nedlands,House,5,3,1451
2024-04-01,Nedlands,Townhouse,1,1,618
2024-04-01,Nedlands,Townhouse,2,1,777
2024-04-01,Nedlands,Townhouse,2,2,855
2024-04-01,Nedlands,Townhouse,3,1,884
2024-04-01,Nedlands,Townhouse,3,2,972
2024-04-01,Nedlands,Townhouse,3,3,1060
2024-04-01,Nedlands,Townhouse,4,1,1016
2024-04-01,Nedlands,Townhouse,4,2,1118
2024-04-01,Nedlands,Townhouse,4,3,1219
2024-04-01,Nedlands,Townhouse,5,1,1149
2024-04-01,Nedlands,Townhouse,5,2,1263
2024-04-01,Nedlands,Townhouse,5,3,1378
2024-04-01,Nedlands,Apartment,1,1,553
2024-04-01,Nedlands,Apartment,2,1,696
2024-04-01,Nedlands,Apartment,2,2,765
2024-04-01,Nedlands,Apartment,3,1,790
2024-04-01,Nedlands,Apartment,3,2,870
2024-04-01,Nedlands,Apartment,3,3,949
2024-07-01,Nedlands,House,1,1,644
2024-07-01,Nedlands,House,2,1,810
2024-07-01,Nedlands,House,2,2,891
2024-07-01,Nedlands,House,3,1,920
2024-07-01,Nedlands,House,3,2,1012
2024-07-01,Nedlands,House,3,3,1104
2024-07-01,Nedlands,House,4,1,1058
2024-07-01,Nedlands,House,4,2,1164
2024-07-01,Nedlands,House,4,3,1270
2024-07-01,Nedlands,House,5,1,1196
2024-07-01,Nedlands,House,5,2,1316
2024-07-01,Nedlands,House,5,3,1435
2024-07-01,Nedlands,Townhouse,1,1,612
2024-07-01,Nedlands,Townhouse,2,1,769
2024-07-01,Nedlands,Townhouse,2,2,846
2024-07-01,Nedlands,Townhouse,3,1,874
2024-07-01,Nedlands,Townhouse,3,2,961
2024-07-01,Nedlands,Townhouse,3,3,1049
2024-07-01,Nedlands,Townhouse,4,1,1005
2024-07-01,Nedlands,Townhouse,4,2,1106
2024-07-01,Nedlands,Townhouse,4,3,1206
2024-07-01,Nedlands,Townhouse,5,1,1136
2024-07-01,Nedlands,Townhouse,5,2,1250
2024-07-01,Nedlands,Townhouse,5,3,1363
2024-07-01,Nedlands,Apartment,1,1,547
2024-07-01,Nedlands,Apartment,2,1,688
2024-07-01,Nedlands,Apartment,2,2,757
2024-07-01,Nedlands,Apartment,3,1,782
2024-07-01,Nedlands,Apartment,3,2,860
2024-07-01,Nedlands,Apartment,3,3,938
2024-10-01,Nedlands,House,1,1,630
2024-10-01,Nedlands,House,2,1,792
2024-10-01,Nedlands,House,2,2,871
2024-10-01,Nedlands,House,3,1,900
2024-10-01,Nedlands,House,3,2,990
2024-10-01,Nedlands,House,3,3,1080
2024-10-01,Nedlands,House,4,1,1035
2024-10-01,Nedlands,House,4,2,1138
2024-10-01,Nedlands,House,4,3,1242
2024-10-01,Nedlands,House,5,1,1170
2024-10-01,Nedlands,House,5,2,1287
2024-10-01,Nedlands,House,5,3,1404
2024-10-01,Nedlands,Townhouse,1,1,598
2024-10-01,Nedlands,Townhouse,2,1,752
2024-10-01,Nedlands,Townhouse,2,2,828
2024-10-01,Nedlands,Townhouse,3,1,855
2024-10-01,Nedlands,Townhouse,3,2,941
2024-10-01,Nedlands,Townhouse,3,3,1026
2024-10-01,Nedlands,Townhouse,4,1,983
2024-10-01,Nedlands,Townhouse,4,2,1082
2024-10-01,Nedlands,Townhouse,4,3,1180
2024-10-01,Nedlands,Townhouse,5,1,1112
2024-10-01,Nedlands,Townhouse,5,2,1223
2024-10-01,Nedlands,Townhouse,5,3,1334
2024-10-01,Nedlands,Apartment,1,1,536
2024-10-01,Nedlands,Apartment,2,1,673
2024-10-01,Nedlands,Apartment,2,2,741
2024-10-01,Nedlands,Apartment,3,1,765
2024-10-01,Nedlands,Apartment,3,2,842
2024-10-01,Nedlands,Apartment,3,3,918
2025-01-01,Nedlands,House,1,1,658
2025-01-01,Nedlands,House,2,1,827
2025-01-01,Nedlands,House,2,2,910
2025-01-01,Nedlands,House,3,1,940
2025-01-01,Nedlands,House,3,2,1034
2025-01-01,Nedlands,House,3,3,1128
2025-01-01,Nedlands,House,4,1,1081
2025-01-01,Nedlands,House,4,2,1189
2025-01-01,Nedlands,House,4,3,1297
2025-01-01,Nedlands,House,5,1,1222
2025-01-01,Nedlands,House,5,2,1344
2025-01-01,Nedlands,House,5,3,1466
2025-01-01,Nedlands,Townhouse,1,1,625
2025-01-01,Nedlands,Townhouse,2,1,786
2025-01-01,Nedlands,Townhouse,2,2,864
2025-01-01,Nedlands,Townhouse,3,1,893
2025-01-01,Nedlands,Townhouse,3,2,982
2025-01-01,Nedlands,Townhouse,3,3,1072
2025-01-01,Nedlands,Townhouse,4,1,1027
2025-01-01,Nedlands,Townhouse,4,2,1130
2025-01-01,Nedlands,Townhouse,4,3,1232
2025-01-01,Nedlands,Townhouse,5,1,1161
2025-01-01,Nedlands,Townhouse,5,2,1277
2025-01-01,Nedlands,Townhouse,5,3,1393
2025-01-01,Nedlands,Apartment,1,1,559
2025-01-01,Nedlands,Apartment,2,1,703
2025-01-01,Nedlands,Apartment,2,2,773
2025-01-01,Nedlands,Apartment,3,1,799
2025-01-01,Nedlands,Apartment,3,2,879
2025-01-01,Nedlands,Apartment,3,3,959
2025-04-01,Nedlands,House,1,1,658
2025-04-01,Nedlands,House,2,1,827
2025-04-01,Nedlands,House,2,2,910
2025-04-01,Nedlands,House,3,1,940
2025-04-01,Nedlands,House,3,2,1034
2025-04-01,Nedlands,House,3,3,1128
2025-04-01,Nedlands,House,4,1,1081
2025-04-01,Nedlands,House,4,2,1189
2025-04-01,Nedlands,House,4,3,1297
2025-04-01,Nedlands,House,5,1,1222
2025-04-01,Nedlands,House,5,2,1344
2025-04-01,Nedlands,House,5,3,1466
2025-04-01,Nedlands,Townhouse,1,1,625
2025-04-01,Nedlands,Townhouse,2,1,786
2025-04-01,Nedlands,Townhouse,2,2,864
2025-04-01,Nedlands,Townhouse,3,1,893
2025-04-01,Nedlands,Townhouse,3,2,982
2025-04-01,Nedlands,Townhouse,3,3,1072
2025-04-01,Nedlands,Townhouse,4,1,1027
2025-04-01,Nedlands,Townhouse,4,2,1130
2025-04-01,Nedlands,Townhouse,4,3,1232
2025-04-01,Nedlands,Townhouse,5,1,1161
2025-04-01,Nedlands,Townhouse,5,2,1277
2025-04-01,Nedlands,Townhouse,5,3,1393
2025-04-01,Nedlands,Apartment,1,1,559
2025-04-01,Nedlands,Apartment,2,1,703
2025-04-01,Nedlands,Apartment,2,2,773
2025-04-01,Nedlands,Apartment,3,1,799
2025-04-01,Nedlands,Apartment,3,2,879
2025-04-01,Nedlands,Apartment,3,3,959
2025-07-01,Nedlands,House,1,1,630
2025-07-01,Nedlands,House,2,1,792
2025-07-01,Nedlands,House,2,2,871
2025-07-01,Nedlands,House,3,1,900
2025-07-01,Nedlands,House,3,2,990
2025-07-01,Nedlands,House,3,3,1080
2025-07-01,Nedlands,House,4,1,1035
2025-07-01,Nedlands,House,4,2,1138
2025-07-01,Nedlands,House,4,3,1242
2025-07-01,Nedlands,House,5,1,1170
2025-07-01,Nedlands,House,5,2,1287
2025-07-01,Nedlands,House,5,3,1404
2025-07-01,Nedlands,Townhouse,1,1,598
2025-07-01,Nedlands,Townhouse,2,1,752
2025-07-01,Nedlands,Townhouse,2,2,828
2025-07-01,Nedlands,Townhouse,3,1,855
2025-07-01,Nedlands,Townhouse,3,2,941
2025-07-01,Nedlands,Townhouse,3,3,1026
2025-07-01,Nedlands,Townhouse,4,1,983
2025-07-01,Nedlands,Townhouse,4,2,1082
2025-07-01,Nedlands,Townhouse,4,3,1180
2025-07-01,Nedlands,Townhouse,5,1,1112
2025-07-01,Nedlands,Townhouse,5,2,1223
2025-07-01,Nedlands,Townhouse,5,3,1334
2025-07-01,Nedlands,Apartment,1,1,536
2025-07-01,Nedlands,Apartment,2,1,673
2025-07-01,Nedlands,Apartment,2,2,741
2025-07-01,Nedlands,Apartment,3,1,765
2025-07-01,Nedlands,Apartment,3,2,842
2025-07-01,Nedlands,Apartment,3,3,918
2022-01-01,Canning Vale,House,1,1,413
2022-01-01,Canning Vale,House,2,1,519
2022-01-01,Canning Vale,House,2,2,571
2022-01-01,Canning Vale,House,3,1,590
2022-01-01,Canning Vale,House,3,2,649
2022-01-01,Canning Vale,House,3,3,708
2022-01-01,Canning Vale,House,4,1,678
2022-01-01,Canning Vale,House,4,2,746
2022-01-01,Canning Vale,House,4,3,814
2022-01-01,Canning Vale,House,5,1,767
2022-01-01,Canning Vale,House,5,2,844
2022-01-01,Canning Vale,House,5,3,920
2022-01-01,Canning Vale,Townhouse,1,1,392
2022-01-01,Canning Vale,Townhouse,2,1,493
2022-01-01,Canning Vale,Townhouse,2,2,543
2022-01-01,Canning Vale,Townhouse,3,1,560
2022-01-01,Canning Vale,Townhouse,3,2,617
2022-01-01,Canning Vale,Townhouse,3,3,673
2022-01-01,Canning Vale,Townhouse,4,1,645
2022-01-01,Canning Vale,Townhouse,4,2,709
2022-01-01,Canning Vale,Townhouse,4,3,773
2022-01-01,Canning Vale,Townhouse,5,1,729
2022-01-01,Canning Vale,Townhouse,5,2,802
2022-01-01,Canning Vale,Townhouse,5,3,874
2022-01-01,Canning Vale,Apartment,1,1,351
2022-01-01,Canning Vale,Apartment,2,1,441
2022-01-01,Canning Vale,Apartment,2,2,485
2022-01-01,Canning Vale,Apartment,3,1,502
2022-01-01,Canning Vale,Apartment,3,2,552
2022-01-01,Canning Vale,Apartment,3,3,602
2022-04-01,Canning Vale,House,1,1,427
2022-04-01,Canning Vale,House,2,1,537
2022-04-01,Canning Vale,House,2,2,590
2022-04-01,Canning Vale,House,3,1,610
2022-04-01,Canning Vale,House,3,2,671
2022-04-01,Canning Vale,House,3,3,732
2022-04-01,Canning Vale,House,4,1,702
2022-04-01,Canning Vale,House,4,2,772
2022-04-01,Canning Vale,House,4,3,842
2022-04-01,Canning Vale,House,5,1,793
2022-04-01,Canning Vale,House,5,2,872
2022-04-01,Canning Vale,House,5,3,952
2022-04-01,Canning Vale,Townhouse,1,1,406
2022-04-01,Canning Vale,Townhouse,2,1,510
2022-04-01,Canning Vale,Townhouse,2,2,561
2022-04-01,Canning Vale,Townhouse,3,1,580
2022-04-01,Canning Vale,Townhouse,3,2,637
2022-04-01,Canning Vale,Townhouse,3,3,695
2022-04-01,Canning Vale,Townhouse,4,1,666
2022-04-01,Canning Vale,Townhouse,4,2,733
2022-04-01,Canning Vale,Townhouse,4,3,800
2022-04-01,Canning Vale,Townhouse,5,1,753
2022-04-01,Canning Vale,Townhouse,5,2,829
2022-04-01,Canning Vale,Townhouse,5,3,904
2022-04-01,Canning Vale,Apartment,1,1,363
2022-04-01,Canning Vale,Apartment,2,1,456
2022-04-01,Canning Vale,Apartment,2,2,502
2022-04-01,Canning Vale,Apartment,3,1,518
2022-04-01,Canning Vale,Apartment,3,2,570
2022-04-01,Canning Vale,Apartment,3,3,622
2022-07-01,Canning Vale,House,1,1,420
2022-07-01,Canning Vale,House,2,1,528
2022-07-01,Canning Vale,House,2,2,581
2022-07-01,Canning Vale,House,3,1,600
2022-07-01,Canning Vale,House,3,2,660
2022-07-01,Canning Vale,House,3,3,720
2022-07-01,Canning Vale,House,4,1,690
2022-07-01,Canning Vale,House,4,2,759
2022-07-01,Canning Vale,House,4,3,828
2022-07-01,Canning Vale,House,5,1,780
2022-07-01,Canning Vale,House,5,2,858
2022-07-01,Canning Vale,House,5,3,936
2022-07-01,Canning Vale,Townhouse,1,1,399
2022-07-01,Canning Vale,Townhouse,2,1,502
2022-07-01,Canning Vale,Townhouse,2,2,552
2022-07-01,Canning Vale,Townhouse,3,1,570
2022-07-01,Canning Vale,Townhouse,3,2,627
2022-07-01,Canning Vale,Townhouse,3,3,684
2022-07-01,Canning Vale,Townhouse,4,1,656
2022-07-01,Canning Vale,Townhouse,4,2,721
2022-07-01,Canning Vale,Townhouse,4,3,787
2022-07-01,Canning Vale,Townhouse,5,1,741
2022-07-01,Canning Vale,Townhouse,5,2,815
2022-07-01,Canning Vale,Townhouse,5,3,889
2022-07-01,Canning Vale,Apartment,1,1,357
2022-07-01,Canning Vale,Apartment,2,1,449
2022-07-01,Canning Vale,Apartment,2,2,494
2022-07-01,Canning Vale,Apartment,3,1,510
2022-07-01,Canning Vale,Apartment,3,2,561
2022-07-01,Canning Vale,Apartment,3,3,612
2022-10-01,Canning Vale,House,1,1,413
2022-10-01,Canning Vale,House,2,1,519
2022-10-01,Canning Vale,House,2,2,571
2022-10-01,Canning Vale,House,3,1,590
2022-10-01,Canning Vale,House,3,2,649
2022-10-01,Canning Vale,House,3,3,708
2022-10-01,Canning Vale,House,4,1,678
2022-10-01,Canning Vale,House,4,2,746
2022-10-01,Canning Vale,House,4,3,814
2022-10-01,Canning Vale,House,5,1,767
2022-10-01,Canning Vale,House,5,2,844
2022-10-01,Canning Vale,House,5,3,920
2022-10-01,Canning Vale,Townhouse,1,1,392
2022-10-01,Canning Vale,Townhouse,2,1,493
2022-10-01,Canning Vale,Townhouse,2,2,543
2022-10-01,Canning Vale,Townhouse,3,1,560
2022-10-01,Canning Vale,Townhouse,3,2,617
2022-10-01,Canning Vale,Townhouse,3,3,673
2022-10-01,Canning Vale,Townhouse,4,1,645
2022-10-01,Canning Vale,Townhouse,4,2,709
2022-10-01,Canning Vale,Townhouse,4,3,773
2022-10-01,Canning Vale,Townhouse,5,1,729
2022-10-01,Canning Vale,Townhouse,5,2,802
2022-10-01,Canning Vale,Townhouse,5,3,874
2022-10-01,Canning Vale,Apartment,1,1,351
2022-10-01,Canning Vale,Apartment,2,1,441
2022-10-01,Canning Vale,Apartment,2,2,485
2022-10-01,Canning Vale,Apartment,3,1,502
2022-10-01,Canning Vale,Apartment,3,2,552
2022-10-01,Canning Vale,Apartment,3,3,602
2023-01-01,Canning Vale,House,1,1,420
2023-01-01,Canning Vale,House,2,1,528
2023-01-01,Canning Vale,House,2,2,581
2023-01-01,Canning Vale,House,3,1,600
2023-01-01,Canning Vale,House,3,2,660
2023-01-01,Canning Vale,House,3,3,720
2023-01-01,Canning Vale,House,4,1,690
2023-01-01,Canning Vale,House,4,2,759
2023-01-01,Canning Vale,House,4,3,828
2023-01-01,Canning Vale,House,5,1,780
2023-01-01,Canning Vale,House,5,2,858
2023-01-01,Canning Vale,House,5,3,936
2023-01-01,Canning Vale,Townhouse,1,1,399
2023-01-01,Canning Vale,Townhouse,2,1,502
2023-01-01,Canning Vale,Townhouse,2,2,552
2023-01-01,Canning Vale,Townhouse,3,1,570
2023-01-01,Canning Vale,Townhouse,3,2,627
2023-01-01,Canning Vale,Townhouse,3,3,684
